orden_nro,estado,finalizada,entrega,cliente,cuit,fecha_emision,fecha_entrega,deposito_origen,responsable,linea,id_articulo,codigo,articulo,marca,cantidad,cant_entregada,pendiente,um,precio,monto_pendiente,notas,notas_linea
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,2,PU7953MNAZ5,e5-907953-03,Puma 7953-03 BWT LIFESTYLE Q Mn/Az 5,Puma,1182.0000,0.0000,1182.0000,uni,4717.5000,5576085.00000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,3,PU8643RSBE4,e7-938643-05,Puma 8643-05 Heritage Toe Sneaker 2P Rs/Be 4,Puma,876.0000,0.0000,876.0000,uni,5127.7000,4491865.20000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,4,PU7947NEGT4,j3-907947-01,Puma 7947-01 BWT SNEAKER Ne/Gt 4,Puma,648.0000,0.0000,648.0000,uni,5217.7000,3381069.60000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,5,PU7947RSGR4,j3-907947-04,Puma 7947-04 BWT SNEAKER Rs/Gr 4,Puma,666.0000,0.0000,666.0000,uni,5217.7000,3474988.20000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,6,PU1015BLBLBL4,n99-906978/07,Puma 6978-07 Quarter 3P Bl/Bl/Bl 4,Puma,846.0000,0.0000,846.0000,uni,6666.2000,5639605.20000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,7,PU1015BLNEGM4,o0-906978/21,Puma 6978-21 Quarter 3P Bl/Ne/Gm 4,Puma,2382.0000,0.0000,2382.0000,uni,6666.2000,15878888.40000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,8,PU681BLBLBL5,o1-906978/07,PUMA 6978-07 Quarter 3P  Bl/Bl/Bl 5,Puma,834.0000,0.0000,834.0000,uni,6666.2000,5559610.80000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,9,PU681BLNEGM5,o2-906978/21,PUMA 6978-21 Quarter 3P Bl/Ne/Gm 5,Puma,2370.0000,0.0000,2370.0000,uni,6666.2000,15798894.00000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,10,PU1025BLBLBL4,o5-906807/03,Puma 6807-03 Inv. Sneaker 3P Bl/Bl/Bl 4,Puma,1074.0000,0.0000,1074.0000,uni,6153.4000,6608751.60000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,11,PU1025BLNEGM4,o7-906807/15,Puma 6807-15 Inv. Sneaker 3P Bl/Ne/Gm 4,Puma,2262.0000,0.0000,2262.0000,uni,6153.4000,13918990.80000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,12,PU504BLBLBL5,p1-906807/03,PUMA 6807-03 Inv. Sneakers 3P Bl/Bl/Bl 5,Puma,1050.0000,0.0000,1050.0000,uni,6153.4000,6461070.00000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,13,PU504BLNEGM5,p1-906807/15,PUMA 6807-15 Inv. Sneakers 3P Bl/Ne/Gm 5,Puma,2250.0000,0.0000,2250.0000,uni,6153.4000,13845150.00000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,14,PU1025AOAEMN5,p4/906807/16,Puma 6807-16 Inv. Sneaker 3P Ao/Ae/Mn 5,Puma,726.0000,0.0000,726.0000,uni,6153.4000,4467368.40000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,15,PU1025TUVEVI4,p5-906807-79,Puma 6807-79 Inv. Sneaker 3P Tu/Ve/Vi 4,Puma,846.0000,0.0000,846.0000,uni,6153.4000,5205776.40000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,16,PU595GMM4NE5,q2-7312-892574/02,PUMA 2574-02 Sport 3P Gm/M4/Ne 5,Puma,1224.0000,0.0000,1224.0000,uni,7179.0000,8787096.00000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,17,PU595NENENE5,q3-7312-892574/03,PUMA 2574-03 Sport 3P Ne/Ne/Ne 5,Puma,1188.0000,0.0000,1188.0000,uni,7179.0000,8528652.00000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,1,PU7953NEM45,e5-907953-01,Puma 7953-01 BWT LIFESTYLE Q Ne/M4 5,Puma,84.0000,0.0000,84.0000,uni,4717.5000,396270.00000000,,"<Notas>
  <Nota>
    <CUIT />
    <Cliente>Antonio Luquin (woker)</Cliente>
    <Direccion />
    <Telefono />
    <Expreso />
    <DireccionExpreso />
    <Notas />
  </Nota>
</Notas>"
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,2,PU7953RSM44,e5-907953-04,Puma 7953-04 BWT LIFESTYLE Q Rs/M4 4,Puma,84.0000,0.0000,84.0000,uni,4717.5000,396270.00000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,3,PU8643RSBE4,e7-938643-05,Puma 8643-05 Heritage Toe Sneaker 2P Rs/Be 4,Puma,24.0000,0.0000,24.0000,uni,5127.7000,123064.80000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,4,PU7947NEGT4,j3-907947-01,Puma 7947-01 BWT SNEAKER Ne/Gt 4,Puma,60.0000,0.0000,60.0000,uni,5217.7000,313062.00000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,5,PU7947BLGM4,j3-907947-02,Puma 7947-02 BWT SNEAKER Bl/Gm 4,Puma,36.0000,0.0000,36.0000,uni,5217.7000,187837.20000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,6,PU7947RSGR4,j3-907947-04,Puma 7947-04 BWT SNEAKER Rs/Gr 4,Puma,36.0000,0.0000,36.0000,uni,5217.7000,187837.20000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,7,PU7947NEGT5,j4-907947-01,Puma 7947-01 BWT SNEAKER Ne/Gt 5,Puma,12.0000,0.0000,12.0000,uni,5217.7000,62612.40000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,8,PU8020BLRS4,j7-938020-04,Puma 8020-04 Women Heart Short Sock Bl/Rs 4,Puma,48.0000,0.0000,48.0000,uni,6153.4000,295363.20000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,9,PU1015BLBLBL4,n99-906978/07,Puma 6978-07 Quarter 3P Bl/Bl/Bl 4,Puma,48.0000,0.0000,48.0000,uni,6666.2000,319977.60000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,10,PU1015BLNEGM4,o0-906978/21,Puma 6978-21 Quarter 3P Bl/Ne/Gm 4,Puma,186.0000,0.0000,186.0000,uni,6666.2000,1239913.20000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,11,PU681BLBLBL5,o1-906978/07,PUMA 6978-07 Quarter 3P  Bl/Bl/Bl 5,Puma,48.0000,0.0000,48.0000,uni,6666.2000,319977.60000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,12,PU681BLNEGM5,o2-906978/21,PUMA 6978-21 Quarter 3P Bl/Ne/Gm 5,Puma,186.0000,0.0000,186.0000,uni,6666.2000,1239913.20000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,13,PU1025BLBLBL4,o5-906807/03,Puma 6807-03 Inv. Sneaker 3P Bl/Bl/Bl 4,Puma,90.0000,0.0000,90.0000,uni,6153.4000,553806.00000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,14,PU1025BLNEGM4,o7-906807/15,Puma 6807-15 Inv. Sneaker 3P Bl/Ne/Gm 4,Puma,210.0000,0.0000,210.0000,uni,6153.4000,1292214.00000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,15,PU504BLBLBL5,p1-906807/03,PUMA 6807-03 Inv. Sneakers 3P Bl/Bl/Bl 5,Puma,90.0000,0.0000,90.0000,uni,6153.4000,553806.00000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,16,PU504BLNEGM5,p1-906807/15,PUMA 6807-15 Inv. Sneakers 3P Bl/Ne/Gm 5,Puma,210.0000,0.0000,210.0000,uni,6153.4000,1292214.00000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,17,PU1025AOAEMN5,p4/906807/16,Puma 6807-16 Inv. Sneaker 3P Ao/Ae/Mn 5,Puma,108.0000,0.0000,108.0000,uni,6153.4000,664567.20000000,,
