best_id_articulo,admin_IDArt,admin_id_manual,score,status,best_articulo,admin_NombreArticulo,best_modelos,best_colores,best_talle,best_pack
PU8652RSBL3,773,938652,150,MATCH_ALTO,Puma 8652-04 Kids Heart Logo Short Crew 2P Rs/Bl 3,938652-04 T3 Puma Kids Heart Logo Crew Rs/Bl 2P,8652|938652,RS/BL,3,2
RE3000BLBLBL5,157,3000,95,MATCH_ALTO,Reef 3000 Logo Prog Crew Bl/Bl/Bl 5,3000-02 T5 Reef Logo Program Crew Negro 3P,3000,BL/BL/BL,5,3
RE3080BLBLBL3,1295,3080,95,MATCH_ALTO,Reef 3080 KIDS LOGO PROG CREW Bl/Bl/Bl 3,3080-02 T3 Reef Kids Logo Program Crew Negro 3P,3080,BL/BL/BL,3,3
RE3080BLNEGR3,1296,3080,117,MATCH_ALTO,Reef 3080 KIDS LOGO PROG CREW Bl/Ne/Gr 3,3080-03 T3 Reef Kids Logo Program Crew Bl/Ne/Gr 3P,3080,BL/NE/GR,3,3
RE3120BLNEGR4,165,3120,96,MATCH_ALTO,Reef 3120 INV SNEAKER Bl/Ne/Gr 4,3120-01 T4 Reef Invisible Sneaker Bl/Ne/Gr 3P,3120,BL/NE/GR,4,3
RE3120BLNEGR5,169,3120,96,MATCH_ALTO,Reef 3120 INV SNEAKER Bl/Ne/Gr 5,3120-01 T5 Reef Invisible Sneaker Bl/Ne/Gr 3P,3120,BL/NE/GR,5,3
RE3300BLNEGR5,188,3300,98,MATCH_ALTO,Reef 3300 REEF MT SNEAKER Bl/Ne/Gr 5,3300-01 T5 Reef MT Sneaker Bl/Ne/Gr 3P,3300,BL/NE/GR,5,3
RE3300NENENE5,190,3300,126,MATCH_ALTO,Reef 3300 REEF MT SNEAKER Ne/Ne/Ne 5,3300-03 T5 Reef MT Sneaker Negro 3P,3300,NE/NE/NE,5,3
SEKP609BL5,333,609,103,MATCH_ALTO,Kamp 609 Kamp Pantorrilleras Blanco 5,609 T5 Kamp Pantorrilleras Blanco 1P,609,BL,5,
SEKP611BL5,349,611,102,MATCH_ALTO,Kamp 611 Kamp Antideslizantes Blanco 5,611 T5 Kamp Medias Antideslizantes Blanco 1Par,611,BL,5,
SEKP611NE4,348,611,102,MATCH_ALTO,Kamp 611 Kamp Antideslizantes Negro 4,611 T4 Kamp Medias Antideslizantes Negro 1Par,611,NE,4,
SEKP611NE5,351,611,102,MATCH_ALTO,Kamp 611 Kamp Antideslizantes Negro 5,611 T5 Kamp Medias Antideslizantes Negro 1Par,611,NE,5,
SEPU56BLNE4,292,950056,140,MATCH_ALTO,Puma 950056-01 Traction Crew Sock 1P Blanco/Negro 4,950056-01 T4 Puma Traction Crew Sock Blanco 1P,950056,BL,4,
SEPU56BLNE5,295,950056,140,MATCH_ALTO,Puma 950056-01 Traction Crew Sock 1P Blanco/Negro 5,950056-01 T5 Puma Traction Crew Sock Blanco 1P,950056,BL,5,
SEPU56MNBL5,296,950056,140,MATCH_ALTO,Puma 950056-02 Traction Crew Sock 1P Marino/Blanco 5,950056-02 T5 Puma Traction Crew Sock Marino 1P,950056,MN,5,
SEPU56NEBL4,294,950056,140,MATCH_ALTO,Puma 950056-03 Traction Crew Sock 1P Negro/Blanco 4,950056-03 T4 Puma Traction Crew Sock Negro 1P,950056,NE,4,
SEPU56NEBL5,297,950056,140,MATCH_ALTO,Puma 950056-03 Traction Crew Sock 1P Negro/Blanco 5,950056-03 T5 Puma Traction Crew Sock Negro 1P,950056,NE,5,
VA510MNMN4,266,510,116,MATCH_ALTO,Varios 510 SOX Bipacks LISA Mn/Mn 4,510-05 T4 BS Medias Antideslizante Marino 2P,510,MN/MN,4,2
VA510MNMN5,271,510,116,MATCH_ALTO,Varios 510 SOX Bipacks LISA Mn/Mn 5,510-05 T5 BS Medias Antideslizante Marino 2P,510,MN/MN,5,2
VA510NENE5,272,510,116,MATCH_ALTO,Varios 510 SOX Bipacks LISA Ne/Ne 5,510-02 T5 BS Medias Antideslizante Negro 2P,510,NE/NE,5,2
