tipo;codigo_movimiento;nro_comprobante;fecha_comprobante;nro_asiento;id_ejercicio;fecha_asiento;concepto;desc_concepto;n_renglones;total_debe;total_haber;balanceado;importe_comprobante;anulado
FA;43501;0003-00014563;31/10/2025;33881.0;1.0;31/10/2025;3.0;Compra;3;602580.0000;602580.0000;Si;602580.00;No
FA;44219;0001-00000087;11/11/2025;33885.0;1.0;11/11/2025;3.0;Compra;3;5553584.1900;5553584.1900;Si;5553584.19;No
FA;44223;0002-00000034;11/11/2025;33887.0;1.0;11/11/2025;3.0;Compra;3;13452780.0000;13452780.0000;Si;13452780.00;No
FA;44237;0002-00049501;11/11/2025;33889.0;1.0;11/11/2025;3.0;Compra;3;58950.3500;58950.3500;Si;58950.35;No
FA;44241;0002-00049555;11/11/2025;33890.0;1.0;11/11/2025;3.0;Compra;3;58950.3300;58950.3300;Si;58950.33;No
FA;44242;0002-00049767;11/11/2025;33891.0;1.0;11/11/2025;3.0;Compra;3;639666.5000;639666.5000;Si;639666.50;No
FA;44244;0002-00050231;11/11/2025;33892.0;1.0;11/11/2025;3.0;Compra;3;544500.0000;544500.0000;Si;544500.00;No
FA;44245;0002-00049326;11/11/2025;33893.0;1.0;11/11/2025;3.0;Compra;3;335684.6900;335684.6900;Si;335684.69;No
FA;44895;0001-00002552;13/11/2025;33895.0;1.0;13/11/2025;3.0;Compra;3;395700.0000;395700.0000;Si;395700.00;No
FA;44896;0001-00002526;13/11/2025;33896.0;1.0;13/11/2025;3.0;Compra;3;2044900.0000;2044900.0000;Si;2044900.00;No
FA;44921;0001-00005464;13/11/2025;33898.0;1.0;13/11/2025;3.0;Compra;3;3062474.6300;3062474.6300;Si;3062474.63;No
FA;45725;0070-00392956;18/11/2025;33901.0;1.0;18/11/2025;3.0;Compra;6;55810597.7200;55810597.7200;Si;55810597.72;No
FA;45754;0004-00058420;18/11/2025;33902.0;1.0;18/11/2025;3.0;Compra;3;2038197.3000;2038197.3000;Si;2038197.30;No
FA;46361;0048-00013551;20/11/2025;33903.0;1.0;20/11/2025;3.0;Compra;4;94372.1900;94372.1900;Si;94372.19;No
FA;48173;0100-00035996;25/11/2025;33907.0;1.0;25/11/2025;3.0;Compra;5;7265908.2700;7265908.2700;Si;7265908.27;No
FA;48188;0010-00121791;19/11/2025;33908.0;1.0;19/11/2025;3.0;Compra;4;5440438.9800;5440438.9800;Si;5440438.98;No
FA;48190;0010-00121796;19/11/2025;33909.0;1.0;19/11/2025;3.0;Compra;5;415068.4400;415068.4400;Si;400858.57;No
FA;48253;0070-00394545;22/11/2025;33911.0;1.0;22/11/2025;3.0;Compra;7;76896753.6100;76896753.6100;Si;76774766.37;No
FA;51324;0048-00013663;03/12/2025;33913.0;1.0;03/12/2025;3.0;Compra;4;84369.9000;84369.9000;Si;84369.90;No
FA;51760;0001-00002596;21/11/2025;33915.0;1.0;21/11/2025;3.0;Compra;3;413300.0000;413300.0000;Si;413300.00;No
FA;51761;0001-00002571;21/11/2025;33916.0;1.0;21/11/2025;3.0;Compra;3;2136100.0000;2136100.0000;Si;2136100.00;No
FA;51772;0070-00396023;29/11/2025;33918.0;1.0;29/11/2025;3.0;Compra;7;969198.4500;969198.4500;Si;828735.86;No
FA;51776;0012-00170356;02/12/2025;33919.0;1.0;02/12/2025;3.0;Compra;6;981247760.9600;981247760.9600;Si;979391756.20;No
FA;58321;0001-00002641;23/12/2025;33931.0;1.0;23/12/2025;3.0;Compra;3;2136100.0000;2136100.0000;Si;2136100.00;No
FA;58324;0001-00002637;23/12/2025;33932.0;1.0;23/12/2025;3.0;Compra;3;413300.0000;413300.0000;Si;413300.00;No
FA;58643;0006-00092207;17/12/2025;33935.0;1.0;17/12/2025;3.0;Compra;4;50145056.2200;50145056.2200;Si;50145056.22;No
FA;58645;0006-00092205;17/12/2025;33936.0;1.0;17/12/2025;3.0;Compra;4;4409489.2100;4409489.2100;Si;4409489.21;No
FA;58647;0006-00092208;17/12/2025;33937.0;1.0;17/12/2025;3.0;Compra;4;51841525.2900;51841525.2900;Si;51841525.29;No
FA;58648;0006-00092206;17/12/2025;33938.0;1.0;17/12/2025;3.0;Compra;4;629084.9500;629084.9500;Si;629084.95;No
FA;58662;0006-00092204;17/12/2025;33939.0;1.0;17/12/2025;3.0;Compra;4;11439436.1800;11439436.1800;Si;11439436.18;No
FA;59425;0012-00170453;13/01/2026;33951.0;1.0;13/01/2026;3.0;Compra;5;73123911.5800;73123911.5800;Si;73123911.58;No
FA;60005;0012-00170503;15/01/2026;33952.0;1.0;15/01/2026;3.0;Compra;6;558576399.8900;558576399.8900;Si;526495193.41;No
FA;60101;0003-00014445;09/01/2026;33953.0;1.0;09/01/2026;3.0;Compra;6;591014.1100;591014.1100;Si;539538.08;No
FA;60109;0004-00000510;08/01/2026;33954.0;1.0;08/01/2026;3.0;Compra;3;4353058.7900;4353058.7900;Si;4353058.79;No
FA;60126;0002-00009588;12/01/2026;33955.0;1.0;12/01/2026;3.0;Compra;3;1325113.1100;1325113.1100;Si;1325113.11;No
FA;60128;0004-00059098;05/01/2026;33956.0;1.0;05/01/2026;3.0;Compra;4;7928650.6700;7928650.6700;Si;7193600.35;No
FA;61880;0002-00050997;27/01/2026;33957.0;1.0;27/01/2026;3.0;Compra;4;70583.1100;70583.1100;Si;70583.11;No
FA;61939;0007-00014701;19/01/2026;33959.0;1.0;19/01/2026;3.0;Compra;3;999460.0000;999460.0000;Si;999460.00;No
FA;61942;0007-00014772;21/01/2026;33960.0;1.0;21/01/2026;3.0;Compra;3;974050.0000;974050.0000;Si;974050.00;No
FA;64117;0005-00037456;03/02/2026;33963.0;1.0;03/02/2026;3.0;Compra;3;612000.0000;612000.0000;Si;612000.00;No
FA;64150;0003-00001397;04/01/2026;33965.0;1.0;04/01/2026;3.0;Compra;3;344850.0000;344850.0000;Si;344850.00;No
FA;64513;0002-00000037;06/02/2026;33970.0;1.0;06/02/2026;3.0;Compra;3;14132901.6400;14132901.6400;Si;14132901.64;No
FA;64514;0001-00000080;06/02/2026;33971.0;1.0;06/02/2026;3.0;Compra;3;6108941.5200;6108941.5200;Si;6108941.52;No
FA;64515;0002-00000301;06/02/2026;33972.0;1.0;06/02/2026;3.0;Compra;3;8063591.6000;8063591.6000;Si;8063591.60;No
FA;65220;0001-00002682;26/01/2026;33979.0;1.0;26/01/2026;3.0;Compra;3;715000.0000;715000.0000;Si;715000.00;No
FA;65222;0001-00002671;22/01/2026;33980.0;1.0;22/01/2026;3.0;Compra;3;435500.0100;435500.0100;Si;435500.01;No
FA;68689;0070-00405127;24/02/2026;33989.0;1.0;24/02/2026;3.0;Compra;7;63362497.8300;63362497.8300;Si;63362497.83;No
FA;68995;0007-00015543;25/02/2026;33990.0;1.0;25/02/2026;3.0;Compra;3;695750.0000;695750.0000;Si;695750.00;No
FA;69257;1200-00070468;26/02/2026;33992.0;1.0;26/02/2026;3.0;Compra;6;20949686.4200;20949686.4200;Si;20949686.42;No
FA;69269;0100-00036311;26/02/2026;33993.0;1.0;26/02/2026;3.0;Compra;6;4566446.2600;4566446.2600;Si;4468224.96;No
FA;70266;0005-00037785;03/03/2026;33996.0;1.0;03/03/2026;3.0;Compra;3;612000.0000;612000.0000;Si;612000.00;No
FA;71011;0048-00014506;10/03/2026;33998.0;1.0;10/03/2026;3.0;Compra;5;79732.1600;79732.1600;Si;79732.16;No
FA;71053;0003-00001432;10/03/2026;34000.0;1.0;10/03/2026;3.0;Compra;3;369050.0000;369050.0000;Si;369050.00;No
FA;71056;0001-00000091;10/03/2026;34002.0;1.0;10/03/2026;3.0;Compra;3;6108941.5200;6108941.5200;Si;6108941.52;No
FA;71059;0002-00000038;10/03/2026;34004.0;1.0;10/03/2026;3.0;Compra;3;15384536.5300;15384536.5300;Si;15384536.53;No
FA;71061;0001-00001163;10/03/2026;34006.0;1.0;10/03/2026;3.0;Compra;3;326000.0000;326000.0000;Si;326000.00;No
FA;71065;0001-00001162;10/03/2026;34008.0;1.0;10/03/2026;3.0;Compra;3;772200.0000;772200.0000;Si;772200.00;No
FA;71084;0002-00000303;10/03/2026;34010.0;1.0;10/03/2026;3.0;Compra;3;8063591.6000;8063591.6000;Si;8063591.60;No
FA;71283;0012-00171086;10/03/2026;34012.0;1.0;10/03/2026;3.0;Compra;5;258417825.2800;258417825.2800;Si;258417825.28;No
FA;71300;0001-00000229;10/03/2026;34013.0;1.0;10/03/2026;3.0;Compra;3;3738461.9200;3738461.9200;Si;3738461.92;No
FA;71304;0001-00000317;10/03/2026;34015.0;1.0;10/03/2026;3.0;Compra;3;3846877.4400;3846877.4400;Si;3846877.44;No
FA;71832;1200-00070620;11/03/2026;34031.0;1.0;11/03/2026;3.0;Compra;6;7814524.0700;7814524.0700;Si;7814524.07;No
FA;71861;0012-00171125;11/03/2026;34032.0;1.0;11/03/2026;3.0;Compra;5;499628079.9500;499628079.9500;Si;499628079.95;No
FA;71862;0012-00171088;11/03/2026;34033.0;1.0;11/03/2026;3.0;Compra;5;125849237.8500;125849237.8500;Si;125849237.85;No
FA;71916;0005-00000221;11/03/2026;34034.0;1.0;11/03/2026;3.0;Compra;3;3034314.4600;3034314.4600;Si;3034314.46;No
FA;72710;0012-00171057;16/03/2026;34035.0;1.0;16/03/2026;3.0;Compra;5;92917.8700;92917.8700;Si;92917.87;No
FA;73003;1200-00070716;16/03/2026;34036.0;1.0;16/03/2026;3.0;Compra;6;2149918.9900;2149918.9900;Si;2149918.99;No
FA;73326;0070-00409638;19/03/2026;34037.0;1.0;19/03/2026;3.0;Compra;7;23715820.7500;23715820.7500;Si;23715820.75;No
FA;73548;0004-00060130;20/03/2026;34044.0;1.0;20/03/2026;3.0;Compra;3;730137.4700;730137.4700;Si;730137.47;No
FA;74094;0002-00114713;25/03/2026;34046.0;1.0;25/03/2026;3.0;Compra;3;248327.8300;248327.8300;Si;248327.83;No
FA;74932;0070-00411001;27/03/2026;34049.0;1.0;27/03/2026;3.0;Compra;7;82152577.5400;82152577.5400;Si;82152577.54;No
FA;75952;0013-00096646;31/03/2026;34050.0;1.0;31/03/2026;3.0;Compra;6;92070149.7400;92070149.7400;Si;92070149.74;No
FA;75954;0013-00096647;31/03/2026;34051.0;1.0;31/03/2026;3.0;Compra;6;42779564.6500;42779564.6500;Si;42779564.65;No
FA;76610;0100-00036429;30/03/2026;34054.0;1.0;30/03/2026;3.0;Compra;5;5658499.9100;5658499.9100;Si;5658499.91;No
FA;76611;0001-00000031;31/03/2026;34055.0;1.0;31/03/2026;3.0;Compra;3;2601500000.0000;2601500000.0000;Si;2601500000.00;No
FA;76856;0048-00014730;08/04/2026;16286.0;2.0;08/04/2026;3.0;Compra;5;82398.1100;82398.1100;Si;82398.11;No
FA;79305;0001-00000413;16/04/2026;16288.0;2.0;16/04/2026;3.0;Compra;3;3958436.8100;3958436.8100;Si;3958436.81;No
FA;79306;0002-00000306;16/04/2026;16289.0;2.0;16/04/2026;3.0;Compra;3;8824979.3300;8824979.3300;Si;8824979.33;No
FA;83130;0100-00036527;30/04/2026;16296.0;2.0;30/04/2026;3.0;Compra;5;3630417.2800;3630417.2800;Si;3630417.28;No
FA;88363;0001-00002735;19/05/2026;16297.0;2.0;19/05/2026;3.0;Compra;2;10000.0000;10000.0000;Si;10000.00;No
FA;88364;0001-00002756;19/05/2026;16298.0;2.0;19/05/2026;3.0;Compra;3;461000.0100;461000.0100;Si;461000.01;No
FA;93061;0001-00002838;04/06/2026;16301.0;2.0;04/06/2026;3.0;Compra;3;488900.0000;488900.0000;Si;488900.00;No
FA;93072;0012-00172453;27/05/2026;16303.0;2.0;27/05/2026;3.0;Compra;6;12796567.6200;12796567.6200;Si;12796567.62;No
FA;98881;0048-00015380;23/06/2026;16304.0;2.0;23/06/2026;3.0;Compra;5;71273.4700;71273.4700;Si;71273.47;No
FC;21575;0002-00000285;27/08/2025;33790.0;1.0;27/08/2025;3.0;Compra;2;1249725.0000;1249725.0000;Si;1249725.00;No
FC;21679;0001-00000227;27/08/2025;33799.0;1.0;27/08/2025;3.0;Compra;2;330000.0000;330000.0000;Si;330000.00;No
FC;21692;0003-00000612;27/08/2025;33801.0;1.0;27/08/2025;3.0;Compra;2;856863.0000;856863.0000;Si;856863.00;No
FC;21694;0003-00000613;27/08/2025;33802.0;1.0;27/08/2025;3.0;Compra;2;856863.0000;856863.0000;Si;856863.00;No
FC;21714;0003-00000614;27/08/2025;33807.0;1.0;27/08/2025;3.0;Compra;2;1014447.0000;1014447.0000;Si;1014447.00;No
FC;22177;0002-00000073;28/08/2025;33812.0;1.0;28/08/2025;3.0;Compra;2;600000.0000;600000.0000;Si;600000.00;No
FC;29314;0002-00000075;19/09/2025;33829.0;1.0;19/09/2025;3.0;Compra;2;850000.0000;850000.0000;Si;850000.00;No
FC;33966;0002-00000076;30/09/2025;33849.0;1.0;30/09/2025;3.0;Compra;2;425000.0000;425000.0000;Si;425000.00;No
FC;39262;0001-00000017;24/10/2025;33864.0;1.0;24/10/2025;3.0;Compra;2;500000.0000;500000.0000;Si;500000.00;No
FC;43496;0001-00000005;07/11/2025;33879.0;1.0;07/11/2025;3.0;Compra;2;660000.0000;660000.0000;Si;660000.00;No
FC;43500;0001-00000013;07/11/2025;33880.0;1.0;07/11/2025;3.0;Compra;2;700000.0000;700000.0000;Si;700000.00;No
FC;57500;0002-00000235;29/12/2025;33922.0;1.0;29/12/2025;3.0;Compra;2;2000000.0000;2000000.0000;Si;2000000.00;No
FC;57501;0002-00000041;29/12/2025;33923.0;1.0;29/12/2025;3.0;Compra;2;1500000.0000;1500000.0000;Si;1500000.00;No
FC;57502;0002-00000068;29/12/2025;33924.0;1.0;29/12/2025;3.0;Compra;2;500000.0000;500000.0000;Si;500000.00;No
FC;57503;0001-00000092;29/12/2025;33925.0;1.0;29/12/2025;3.0;Compra;2;300000.0000;300000.0000;Si;300000.00;No
FC;57504;0001-00000020;29/12/2025;33926.0;1.0;29/12/2025;3.0;Compra;2;300000.0000;300000.0000;Si;300000.00;No
FC;57505;0001-00000018;29/12/2025;33927.0;1.0;29/12/2025;3.0;Compra;2;1500000.0000;1500000.0000;Si;1500000.00;No
FC;57506;0001-00000092;29/12/2025;33928.0;1.0;29/12/2025;3.0;Compra;2;500000.0000;500000.0000;Si;500000.00;No
FC;57510;0003-00000642;29/12/2025;33929.0;1.0;29/12/2025;3.0;Compra;2;401850.0000;401850.0000;Si;401850.00;No
FC;69959;0001-00000153;02/03/2026;33995.0;1.0;02/03/2026;3.0;Compra;2;750000.0000;750000.0000;Si;750000.00;No
FC;71308;0002-00000072;10/03/2026;34017.0;1.0;10/03/2026;3.0;Compra;2;500000.0000;500000.0000;Si;500000.00;No
FC;71311;0001-00000659;10/03/2026;34019.0;1.0;10/03/2026;3.0;Compra;2;600000.0000;600000.0000;Si;600000.00;No
FC;71315;0001-00000104;10/03/2026;34021.0;1.0;10/03/2026;3.0;Compra;2;300000.0000;300000.0000;Si;300000.00;No
FC;71317;0002-00000243;10/03/2026;34023.0;1.0;10/03/2026;3.0;Compra;2;1500000.0000;1500000.0000;Si;1500000.00;No
FC;71321;0002-00000046;10/03/2026;34025.0;1.0;10/03/2026;3.0;Compra;2;2000000.0000;2000000.0000;Si;2000000.00;No
FC;71324;0001-00000099;10/03/2026;34027.0;1.0;10/03/2026;3.0;Compra;2;1500000.0000;1500000.0000;Si;1500000.00;No
FC;71327;0001-00000009;10/03/2026;34029.0;1.0;10/03/2026;3.0;Compra;2;660000.0000;660000.0000;Si;660000.00;No
OP;102727;0002-00007796;02/07/2026;16306.0;2.0;02/07/2026;7.0;Pago;3;71276.3500;71276.3500;Si;0.00;No
OP;104378;0002-00007822;08/07/2026;16308.0;2.0;08/07/2026;7.0;Pago;3;537200.0700;537200.0700;Si;0.00;No
OP;106300;0002-00007837;08/08/2025;34056.0;1.0;08/08/2025;7.0;Pago;2;47000000.0000;47000000.0000;Si;0.00;No
OP;106302;0002-00007838;11/08/2025;34057.0;1.0;11/08/2025;7.0;Pago;2;11500000.0000;11500000.0000;Si;0.00;No
OP;106354;0002-00007840;02/09/2025;34058.0;1.0;02/09/2025;7.0;Pago;2;16720.0000;16720.0000;Si;0.00;No
OP;106426;0002-00007841;31/10/2025;34059.0;1.0;31/10/2025;7.0;Pago;2;6698493.5000;6698493.5000;Si;0.00;No
OP;106486;0002-00007843;15/07/2026;16309.0;2.0;15/07/2026;7.0;Pago;2;3041225.0100;3041225.0100;Si;0.00;No
OP;106487;0002-00007844;15/07/2026;16310.0;2.0;15/07/2026;7.0;Pago;3;10489499.1800;10489499.1800;Si;0.00;No
